n: 9, k: 1000, t: 500, y: (((...)))
Entropy, Sampling, Jensen, Exact
1.3775220213770647, -0.020846726013871376, -0.022532490557010496, -0.02201729200310511
0.801733993540013, -0.0044892658973112705, -0.00455268446487412, -0.004506570356082292
0.9816250858928955, -0.01960181473265402, -0.020732140421947584, -0.020509400150452363
1.4243879772139285, -0.24928177761670667, -0.42809074329063307, -0.2436011034292476
0.9937149676863911, -0.11893333707749844, -0.1401352925583767, -0.12056690529925364
1.0429712464892549, -0.16454253882635383, -0.28221019267451875, -0.14961584108871287
0.7488657329396077, -0.01486055187927559, -0.014697840791774308, -0.014642240894930027
1.3104111459654717, -0.043399639192735776, -0.06700818784460233, -0.043110609490935814
1.0583454600172082, -0.1339349375848542, -0.23222724718106952, -0.12334535344579914
0.3938054413160142, -0.5654994325190783, -0.596258949803885, -0.569556425350906
0.8486559178658014, -0.343016778082354, -0.5819518346015068, -0.3344650223672417
0.6193700720396019, -0.29382987455278636, -0.53080934180459, -0.28221182495812536
1.145298533007155, -0.09694760969094932, -0.1699094770003415, -0.10168443315761883
0.8411044344122437, -0.467158792892471, -0.7728505277605128, -0.44721041722062926
0.9153290359242413, -0.015506951771792956, -0.019025482268109108, -0.017718814159929736
0.8339300309095766, -0.01415574097877834, -0.014334350504662556, -0.01417904127563053
1.2454181443138845, -0.05117109736579005, -0.08449423923785887, -0.05005199847060369
0.7621530732456833, -0.2094638221608475, -0.2309660422072715, -0.20004837916424834
1.1262746806309825, -0.007594884589430876, -0.008283003182591439, -0.008034470410722645
0.8875412804505025, -0.21655830831220374, -0.2763193410376147, -0.21475727280521503
1.154144902289264, -0.05662013219029177, -0.06976949208320006, -0.056255174445160594
0.9383178260557253, -0.06868168683734256, -0.07518115134090174, -0.06846060961812897
0.9849632600703777, -0.015709161310747732, -0.01679493627987853, -0.015939639658929593
0.836899821021052, -0.04781183652766049, -0.048773147890513575, -0.047110581169771196
0.44182737147461276, -0.30160681226104497, -0.31190878629221447, -0.29958240827696475
0.34628013364670956, -0.9617163197696209, -1.143403534427768, -0.9661499297845086
1.2408779977248943, -0.008531326912576333, -0.008907509568425748, -0.00852814106832535
1.380628653692124, -0.21270449263369665, -0.3108133632221637, -0.22193586121277437
1.084679503791148, -0.010298266966827214, -0.009828562469505447, -0.009757293723402685
1.3713166883155505, -0.15692062938853632, -0.254427592768031, -0.15011412309122327
1.1021602005228914, -0.22183227984048426, -0.29432017858512927, -0.2263972503278633
1.5271201888058608, -0.13988208600436336, -0.24786661156240983, -0.12982635845197213
1.1873460423467166, -0.06691318660462275, -0.11347354370554, -0.07479101233295787
1.335452051669361, -0.029890035923337565, -0.028907879212794876, -0.02707464715249027
0.4791692864868051, -0.03492127817252185, -0.04176424676348828, -0.03628496059444522
1.1487926695364334, -0.2968805780098773, -0.45981007274867103, -0.2856249790629784
1.573340336572933, -0.047482362342532725, -0.07419342962934902, -0.04831266907877723
0.7732822023482363, -0.13415532970032654, -0.18114588209688706, -0.13307575466295446
0.9237928172853652, -0.04773745615477674, -0.05061113319035817, -0.04805795752388611
1.30248562650846, -0.1211693915038486, -0.2257303360627377, -0.13484178165684504
1.2705447067172728, -0.1556072149683023, -0.1795419129592016, -0.15197949442629358
1.0519682999460935, -0.10286041560990271, -0.15470017921033632, -0.09226045510918944
0.7107691055251076, -0.00993742967909202, -0.010963289005838208, -0.009878692650037624
0.8341251650827405, -0.1109913974807132, -0.1746092133005412, -0.11245283220881887
0.7912429968058846, -0.1835384602639824, -0.28839748950341515, -0.18441658088042423
0.8286636887112065, -0.0029834841077099553, -0.0030662442041673116, -0.003055197386465384
0.920416977139519, -0.015546145589032676, -0.01572449619049064, -0.015383291486446913
1.4127543086135892, -0.1888716026430484, -0.3323018888184165, -0.1928549945530091
1.5926202802416407, -0.118144410622539, -0.19636862872085545, -0.11525033525681669
1.1184272912528732, -0.3367248201973271, -0.5202870483364669, -0.3299390477005544
1.1372747183458005, -0.016067901521688327, -0.01625403443731635, -0.016129191505839937
0.8092037107068336, -0.01620599847601261, -0.0160185234306727, -0.015817197804385112
1.0834620078225072, -0.015595345543231815, -0.016094249676238456, -0.015662700793479357
1.0895924324586208, -0.8582384176792112, -1.137143091289524, -0.8875664370925951
0.9771238567915838, -0.01305516516417265, -0.01703032270677453, -0.013826579987987603
1.2181958205618513, -0.1660050026345998, -0.23420332918159623, -0.16895692264922083
1.5856038565529778, -0.10281304681464098, -0.118198237527059, -0.09573797249256709
1.1408297997234784, -0.011236492878873832, -0.011484302376767482, -0.01127148584738817
1.1686262915948906, -0.02608620228478685, -0.03732983046903781, -0.026812921371993613
0.6025369156681101, -0.009208995851804503, -0.008637146033139413, -0.008499405022056544
1.161389221735068, -0.0067380635033478025, -0.007092938594514399, -0.00695306418330159
1.1466740997114246, -0.07459997317974922, -0.07973937506901416, -0.06992331160161919
0.9716889355158691, -0.15297822743281722, -0.17635092540023756, -0.15333510845764306
0.9880866831469438, -0.01116191270039417, -0.010406917040164885, -0.010063723203478227
0.8512050437647979, -0.052459330053883604, -0.0880716805360772, -0.05400695456861867
1.1003763619851574, -0.0331107667714823, -0.03794097336794153, -0.03395596329117547
