n: 6, k: 1000, t: 700
Entropy, Sampling, Jensen, Exact
1.0191075756441943, -7.108588484680652e-05, -7.019712605086464e-05, -7.01460984743135e-05
0.9531443205531126, -0.00017757168103324725, -0.00019829812955187717, -0.00019812785240628361
1.2275656079125248, -0.00019284783573855703, -0.0001979824235385946, -0.00019789814395378152
1.3812434246533132, -0.0002179973165693672, -0.00023063681934792723, -0.00023053559247975252
1.0229232389280405, -4.853040480877285e-05, -4.934755184109815e-05, -4.9343259373888935e-05
1.0332231623264445, -0.00014576178030062964, -0.0001464031639860051, -0.00014633813470942122
0.9044479806280229, -9.076282126432455e-05, -9.920818587204051e-05, -9.91876044456477e-05
0.8575634658372467, -0.00010702945368570995, -0.0001023401958552034, -0.00010229996517521669
0.8424684784360311, -0.0002813900807541238, -0.0003038359465272072, -0.0003035163010199123
1.2755892836989793, -0.00021424727332296797, -0.0002076704538618833, -0.00020727247865506964
1.2312252911123973, -0.00022648206154369282, -0.0002174481495463622, -0.00021719905384944398
1.1607147119512735, -0.0013736379465134983, -0.0013598722248116177, -0.0013579594451737598
1.104380695735029, -0.00017855426297864286, -0.00016849819004250568, -0.0001684450255934928
1.3455817658157097, -0.00016187022400473026, -0.00014797303041225822, -0.00014783789129757668
1.2849883820764942, -0.0002521807837928259, -0.00022416577414261041, -0.00022396191654199362
1.4543244579641534, -9.671555030385828e-05, -9.494656423432184e-05, -9.486407716418125e-05
1.4326940556792316, -0.00035051989784725567, -0.00032674785988087756, -0.00032647721671387177
1.1467714765604946, -0.00014908868670488528, -0.00013213940416899157, -0.00013202539790210934
1.3219662854629106, -0.0001838678719812659, -0.0001728531471323188, -0.00017270134042246367
1.3614626060370625, -9.69101802146071e-05, -0.00010337472790218635, -0.00010326525918214883
1.3180957708960641, -0.00016529295105813038, -0.00016177455746359108, -0.00016157048895799157
1.5126019326625402, -0.0011428546050046562, -0.0011122206815000373, -0.001109109705099536
1.2099886108413864, -0.00027520542526870663, -0.0002808887633219242, -0.00028058526560420516
1.2636602257402658, -0.00020369505299999856, -0.00019173212520891134, -0.00019157403996468856
1.3670668877494652, -0.0004698793856640732, -0.0004771866032065234, -0.00047641763596794235
1.090271521238553, -0.0001413353795941813, -0.00014289996833250502, -0.00014275988363987623
1.366351803294215, -0.0004418685711478836, -0.0004027443238385947, -0.00040207867741355786
0.8156753351868197, -5.0679118561670735e-05, -5.255840268696724e-05, -5.255098572579288e-05
0.8946768378433897, -0.00014040642375402117, -0.0001462072659977641, -0.00014618225847804647
1.3656857308586676, -0.00019399836046973893, -0.00018751531332271803, -0.00018743110867943473
1.4137510585045965, -6.811558250586122e-05, -7.236686428296603e-05, -7.23483823419938e-05
1.3432632812646188, -0.00011633771400010262, -0.00010994149707473625, -0.00010993110427272193
1.104507051085927, -0.0002669037896611148, -0.0002629638684958353, -0.0002627905497083597
0.9070990937169903, -3.450084930386048e-05, -3.116867478420643e-05, -3.115478961885297e-05
